,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
591,North Admiral,47.5791257046394,-122.38706632576296,Great Clips,47.580675479951694,-122.38626167178154,Salon / Barbershop
594,North Admiral,47.5791257046394,-122.38706632576296,Mawadda Cafe,47.58136694701016,-122.38649906197864,Middle Eastern Restaurant
597,North Admiral,47.5791257046394,-122.38706632576296,Mission Latin Restaurant & Lounge,47.582246,-122.386889,Mexican Restaurant
601,North Admiral,47.5791257046394,-122.38706632576296,Arthur's,47.582579176696576,-122.3866341423226,Australian Restaurant
602,North Admiral,47.5791257046394,-122.38706632576296,New Leaf Bistro,47.58165473177308,-122.38639269223088,Vietnamese Restaurant
605,North Admiral,47.5791257046394,-122.38706632576296,Vidiot,47.58148800684525,-122.38574767670175,Bar
608,North Admiral,47.5791257046394,-122.38706632576296,Pailin Thai,47.5832986031574,-122.38656476872994,Thai Restaurant
611,North Admiral,47.5791257046394,-122.38706632576296,Yen Wor Village Restaurant,47.58279695415669,-122.38636143998444,Chinese Restaurant
613,North Admiral,47.5791257046394,-122.38706632576296,Copper Coin,47.58212218149129,-122.38660194789024,Pub
615,North Admiral,47.5791257046394,-122.38706632576296,Admiral Pub,47.58270022315835,-122.38630421109264,Pub
616,North Admiral,47.5791257046394,-122.38706632576296,Safeway,47.57998394678411,-122.38636578902435,Grocery Store
617,North Admiral,47.5791257046394,-122.38706632576296,Jack in the Box,47.58095139562644,-122.3856407403946,Fast Food Restaurant
620,Fairmount Park,47.55510127782201,-122.38052462359002,Thaitan,47.554017677219946,-122.3867377319595,Thai Restaurant
625,Genesee,47.56524558649574,-122.38759028224112,Itto's Tapas - Moroccan and Spanish Tapas Bar & Restaurant,47.56474933843798,-122.38659831785066,Tapas Restaurant
631,Genesee,47.56524558649574,-122.38759028224112,Maharaja,47.56158958493602,-122.38662745591184,Indian Restaurant
638,Genesee,47.56524558649574,-122.38759028224112,The Matador,47.56148672837258,-122.38660617752944,Mexican Restaurant
641,Genesee,47.56524558649574,-122.38759028224112,Shadowland,47.56295164026725,-122.38665273932794,American Restaurant
643,Genesee,47.56524558649574,-122.38759028224112,Kizuki West Seattle,47.56093130000001,-122.3857622,Ramen Restaurant
648,Genesee,47.56524558649574,-122.38759028224112,Raccolto,47.56514582075499,-122.38688315352864,Italian Restaurant
655,Fauntleroy,47.5225984976167,-122.388688710105,Endolyne Joe's,47.5205535797457,-122.3905293052,American Restaurant
665,North Beacon Hill,47.578359836775135,-122.3097722184586,Homer,47.57670576175754,-122.30999759859748,Mediterranean Restaurant
667,North Beacon Hill,47.578359836775135,-122.3097722184586,Fresh Flours Bakery & Cafe,47.578702643269054,-122.31142699145131,Café
671,North Beacon Hill,47.578359836775135,-122.3097722184586,Oak,47.57642966463917,-122.30980314956732,Pub
672,North Beacon Hill,47.578359836775135,-122.3097722184586,El Quetzal,47.57472195394037,-122.30931528938012,Mexican Restaurant
673,North Beacon Hill,47.578359836775135,-122.3097722184586,Baja Bistro,47.58155456555108,-122.31425554156392,Mexican Restaurant
676,North Beacon Hill,47.578359836775135,-122.3097722184586,Hilltop Red Apple Market,47.57917651372702,-122.31205374933708,Grocery Store
680,North Beacon Hill,47.578359836775135,-122.3097722184586,Pippys Cafe,47.576774,-122.310176,Café
685,North Beacon Hill,47.578359836775135,-122.3097722184586,Musang,47.580242,-122.31294,Filipino Restaurant
686,North Beacon Hill,47.578359836775135,-122.3097722184586,El Delicioso,47.580827,-122.313099,Mexican Restaurant
687,North Beacon Hill,47.578359836775135,-122.3097722184586,beacon hill market,47.58093850714416,-122.31322336827,Grocery Store
689,North Beacon Hill,47.578359836775135,-122.3097722184586,Carnitas Michoacan,47.58091774121714,-122.31362323294688,Mexican Restaurant
690,North Beacon Hill,47.578359836775135,-122.3097722184586,Luisa Taqueria,47.58076858520508,-122.31391143798828,Mexican Restaurant
697,South Beacon Hill,47.52712284938664,-122.28985503717274,Cucina Fresca,47.52846728520127,-122.29397385442329,Italian Restaurant
705,Holly Park,47.539509797668366,-122.28834331736331,The Cajun Crawfish,47.53928997120634,-122.28267717852206,Cajun / Creole Restaurant
707,Holly Park,47.539509797668366,-122.28834331736331,Hoang Lan,47.53834883622972,-122.28202097084484,Vietnamese Restaurant
708,Holly Park,47.539509797668366,-122.28834331736331,Foo Lam,47.53848168684539,-122.2829479818834,Chinese Restaurant
712,Holly Park,47.539509797668366,-122.28834331736331,Venus Seafood Chinese Restaurant,47.53842190224066,-122.2830980910532,Chinese Restaurant
713,Holly Park,47.539509797668366,-122.28834331736331,Amazing Thai Lao Cuisine,47.541653,-122.283636,Thai Restaurant
714,Holly Park,47.539509797668366,-122.28834331736331,Thai Savon,47.541943,-122.283927,Asian Restaurant
715,Holly Park,47.539509797668366,-122.28834331736331,Thai Palms,47.541943,-122.283927,Thai Restaurant
717,Holly Park,47.539509797668366,-122.28834331736331,Ambrosia Tea & Espresso,47.5390018444739,-122.28244478248476,Café
718,Holly Park,47.539509797668366,-122.28834331736331,che dessert lounge,47.53853970239219,-122.28247172439796,Asian Restaurant
719,Holly Park,47.539509797668366,-122.28834331736331,Safeway,47.5374346,-122.2830543,Grocery Store
723,Brighton,47.53887201158371,-122.27535083516632,Huong Duong Sunflower,47.53781871254015,-122.2813544666586,Vietnamese Restaurant
729,Brighton,47.53887201158371,-122.27535083516632,Zest Fast Food,47.538777,-122.271008,Fast Food Restaurant
733,Brighton,47.53887201158371,-122.27535083516632,Jacksons Catfish Corner,47.53787557405205,-122.2703571212099,Seafood Restaurant
734,Brighton,47.53887201158371,-122.27535083516632,El Asadero,47.53724733537418,-122.28018074129658,Mexican Restaurant
735,Brighton,47.53887201158371,-122.27535083516632,Cafe Avole,47.542576,-122.272733,Café
739,Dunlap,47.5256353458644,-122.27064797058809,Jack in the Box,47.5217445996344,-122.26964324712752,Fast Food Restaurant
742,Dunlap,47.5256353458644,-122.27064797058809,Hair Art Beauty Supply,47.52277374267578,-122.26863098144533,Salon / Barbershop
745,Dunlap,47.5256353458644,-122.27064797058809,Sunset Cafe And Deli,47.52988168858835,-122.27016136278174,African Restaurant
754,Mount Baker,47.57801965153989,-122.2890577127676,Relish Fine Foods,47.57830451167025,-122.2881720826289,Café
759,Columbia City,47.55895744392826,-122.28617754445352,Columbia City Ale House,47.557431502191776,-122.2846250569044,Pub
