,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
117,University District,47.65972838933905,-122.30833161801833,Gargoyles Statuary,47.66271031783785,-122.3131124184841,Art Gallery
118,University District,47.65972838933905,-122.30833161801833,Chase Bank,47.661418,-122.313462,Bank
119,University District,47.65972838933905,-122.30833161801833,Thai Tom,47.6626054903407,-122.313312292099,Thai Restaurant
120,University District,47.65972838933905,-122.30833161801833,川宗 Red Pepper,47.6626757065786,-122.31325548950012,Chinese Restaurant
121,University District,47.65972838933905,-122.30833161801833,Molly's Salads,47.656358767638956,-122.31180078109375,Sandwich Place
122,University District,47.65972838933905,-122.30833161801833,Myung-dong Soft Tofu House Korean Restaurant,47.65828344387334,-122.3139603916894,Korean Restaurant
123,University District,47.65972838933905,-122.30833161801833,Tea Republik,47.66207655824566,-122.31329219098295,Tea Room
124,University District,47.65972838933905,-122.30833161801833,Little Thai,47.65828779071395,-122.31383058633203,Thai Restaurant
125,University District,47.65972838933905,-122.30833161801833,University Teriyaki,47.65723181407389,-122.3131115294926,Asian Restaurant
126,University District,47.65972838933905,-122.30833161801833,Bulldog News,47.658501383660216,-122.31318574878804,Coffee Shop
127,University District,47.65972838933905,-122.30833161801833,Thanh Vi,47.659129618296625,-122.31320341612232,Vietnamese Restaurant
128,East Queen Anne,47.63610855858225,-122.34952141259649,Little Howe Park,47.6363636605807,-122.35411133495343,Playground
129,East Queen Anne,47.63610855858225,-122.34952141259649,Lyon's Grocery,47.63774751414437,-122.34352719258989,Grocery Store
130,East Queen Anne,47.63610855858225,-122.34952141259649,King County Metro Stop #18310,47.63740153167311,-122.34326647160563,Bus Stop
131,West Queen Anne,47.63446593980578,-122.367138236298,Molly Moon's Ice Cream,47.632268215802796,-122.36146151978795,Ice Cream Shop
132,West Queen Anne,47.63446593980578,-122.367138236298,Targy's Tavern,47.63781934037198,-122.36507407531747,Dive Bar
133,West Queen Anne,47.63446593980578,-122.367138236298,Icebox Grocery,47.636153727041254,-122.37045954667484,Sandwich Place
134,West Queen Anne,47.63446593980578,-122.367138236298,Via Tribunali,47.63225947149072,-122.36136527766217,Italian Restaurant
135,West Queen Anne,47.63446593980578,-122.367138236298,Top Pot Doughnuts,47.63223624378162,-122.36169958145747,Donut Shop
136,West Queen Anne,47.63446593980578,-122.367138236298,Scenic Queen Anne Sidewalk,47.636466,-122.365923,Scenic Lookout
137,West Queen Anne,47.63446593980578,-122.367138236298,CoffeeMind,47.63621864062712,-122.37041861203599,Coffee Shop
138,West Queen Anne,47.63446593980578,-122.367138236298,Pink Ginger,47.637921999999996,-122.365362,Boutique
139,West Queen Anne,47.63446593980578,-122.367138236298,Rhinestone Rosie,47.637921999999996,-122.365362,Jewelry Store
140,West Queen Anne,47.63446593980578,-122.367138236298,12th West & West Howe Park,47.63621736088025,-122.37300753593443,Playground
141,Lower Queen Anne,47.62482439665341,-122.35509741564087,Metropolitan Market,47.62474166417963,-122.35499191713085,Grocery Store
142,Lower Queen Anne,47.62482439665341,-122.35509741564087,Coba Viet Kitchen & Ale House,47.62417251491562,-122.3552424175114,Vietnamese Restaurant
143,Lower Queen Anne,47.62482439665341,-122.35509741564087,Sal Y Limon,47.62466823038943,-122.35621581762906,Mexican Restaurant
144,Lower Queen Anne,47.62482439665341,-122.35509741564087,Toulouse Petit Kitchen & Lounge,47.624761147936056,-122.35682939985381,Cajun / Creole Restaurant
145,Lower Queen Anne,47.62482439665341,-122.35509741564087,The Masonry,47.625349504082756,-122.35566063654409,Bar
146,Lower Queen Anne,47.62482439665341,-122.35509741564087,La Marzocco Cafe,47.6227316073658,-122.35532257285617,Coffee Shop
147,Lower Queen Anne,47.62482439665341,-122.35509741564087,KEXP Studios,47.62273725267265,-122.35532920886175,Radio Station
148,Lower Queen Anne,47.62482439665341,-122.35509741564087,Sugar Bakery & Coffeehouse,47.62333131324107,-122.35501401115835,Coffee Shop
149,Lower Queen Anne,47.62482439665341,-122.35509741564087,Mud Bay,47.62393666996727,-122.35667018338512,Pet Store
150,Lower Queen Anne,47.62482439665341,-122.35509741564087,Shiki Japanese Restaurant,47.62576223873566,-122.35706879879834,Japanese Restaurant
151,Lower Queen Anne,47.62482439665341,-122.35509741564087,On the Boards,47.625817462424436,-122.35798161174186,Performing Arts Venue
152,Lower Queen Anne,47.62482439665341,-122.35509741564087,Cafe Goldinblack,47.62514576037756,-122.35668471705952,Korean Restaurant
153,Lower Queen Anne,47.62482439665341,-122.35509741564087,International Fountain,47.622486065907275,-122.35232071726352,Fountain
154,Lower Queen Anne,47.62482439665341,-122.35509741564087,Taylor Shellfish Oyster Bar Queen Anne,47.62335780166168,-122.35430187658056,Seafood Restaurant
155,Lower Queen Anne,47.62482439665341,-122.35509741564087,Pacific Northwest Ballet,47.6239880142884,-122.35047540429281,Performing Arts Venue
156,Lower Queen Anne,47.62482439665341,-122.35509741564087,Seattle Center,47.622190306287365,-122.35147476196289,Plaza
157,Lower Queen Anne,47.62482439665341,-122.35509741564087,SIFF Cinema at the Uptown,47.62350813794798,-122.35694415653123,Indie Movie Theater
158,Lower Queen Anne,47.62482439665341,-122.35509741564087,Siff Cinema at the Film Center,47.62272360702447,-122.35251995991756,Indie Movie Theater
159,Lower Queen Anne,47.62482439665341,-122.35509741564087,Seattle Opera,47.623949808127946,-122.3504198800131,Opera House
160,Lower Queen Anne,47.62482439665341,-122.35509741564087,T-Mobile,47.62369984149483,-122.35520303249359,Mobile Phone Shop
161,Lower Queen Anne,47.62482439665341,-122.35509741564087,KEXP Gathering Space,47.62278991604161,-122.35524783373941,Music Venue
162,Lower Queen Anne,47.62482439665341,-122.35509741564087,Redbox,47.62502670288086,-122.35475158691406,Video Store
163,Lower Queen Anne,47.62482439665341,-122.35509741564087,Paju,47.624384,-122.35620300000001,Korean Restaurant
164,Lower Queen Anne,47.62482439665341,-122.35509741564087,Sitting Room,47.62577465517221,-122.35857296356585,Lounge
165,Lower Queen Anne,47.62482439665341,-122.35509741564087,Nielsen's Pastries,47.6241485078944,-122.35940989198524,Coffee Shop
166,Lower Queen Anne,47.62482439665341,-122.35509741564087,Marion Oliver McCaw Hall,47.624238058061245,-122.35099057303688,Opera House
167,Lower Queen Anne,47.62482439665341,-122.35509741564087,Pho Viet Anh,47.625474932336736,-122.349048131322,Noodle House
168,Lower Queen Anne,47.62482439665341,-122.35509741564087,Seattle Children's Theatre,47.620938367395254,-122.3524425732856,Theater
169,Lower Queen Anne,47.62482439665341,-122.35509741564087,Franklin Place,47.627925328509995,-122.35900748108493,Park
170,Lower Queen Anne,47.62482439665341,-122.35509741564087,Bayview-Kinnear Park,47.62797614182502,-122.3590182104194,Playground
171,North Queen Anne,47.64713772374516,-122.36528905464135,Subway,47.64974811565417,-122.36415723872508,Sandwich Place
172,North Queen Anne,47.64713772374516,-122.36528905464135,Einstein Bros. Bagels,47.649639736804566,-122.36444792453827,Bagel Shop
173,North Queen Anne,47.64713772374516,-122.36528905464135,U.S. Bank ATM,47.6507020270767,-122.36131806537347,ATM
174,North Queen Anne,47.64713772374516,-122.36528905464135,South Canal Trail,47.6471482394257,-122.36276118367451,Harbor / Marina
175,North Queen Anne,47.64713772374516,-122.36528905464135,Queen Anne Bowl Playfield,47.647152738072656,-122.36274212786122,Soccer Field
176,North Queen Anne,47.64713772374516,-122.36528905464135,C Store,47.64974151309204,-122.36410083401456,American Restaurant
177,North Queen Anne,47.64713772374516,-122.36528905464135,SPU McKinley Hall,47.64903236916286,-122.36182586092822,Theater
178,North Queen Anne,47.64713772374516,-122.36528905464135,Fischer Heating and Air Conditioning,47.648839,-122.36959099999999,Home Service
179,North Queen Anne,47.64713772374516,-122.36528905464135,BECU ATM @ Seattle Pacific University,47.650615,-122.361294,ATM
180,Westlake,47.632489019725924,-122.34165148327193,The Toledo,47.63387023053948,-122.3421342168882,Cocktail Bar
181,Westlake,47.632489019725924,-122.34165148327193,Pasta Freska,47.632872825114376,-122.34093471052961,Italian Restaurant
182,Westlake,47.632489019725924,-122.34165148327193,Kenmore Air,47.62853475609479,-122.33976517477662,Airport
183,Westlake,47.632489019725924,-122.34165148327193,Lake Union Loop,47.63539978895248,-122.33998909198485,Track
184,Westlake,47.632489019725924,-122.34165148327193,U.S. Bank ATM,47.628333000000005,-122.34143799999998,ATM
185,Westlake,47.632489019725924,-122.34165148327193,Starbucks,47.629932,-122.34005,Coffee Shop
186,Westlake,47.632489019725924,-122.34165148327193,SUBWAY,47.63399258407299,-122.34040271652972,Sandwich Place
187,Westlake,47.632489019725924,-122.34165148327193,Koibito Sushi & Teriyaki,47.6298699073962,-122.34262575645333,Japanese Restaurant
188,Westlake,47.632489019725924,-122.34165148327193,Boathouse Deli,47.635359390598346,-122.3400295561893,Deli / Bodega
189,Westlake,47.632489019725924,-122.34165148327193,Starbucks,47.62903,-122.3428,Coffee Shop
